행정구역별(읍면동)	총인구 (명)	남자 (명)	여자 (명)	내국인-계 (명)	내국인-남자 (명)	내국인-여자 (명)	외국인-계 (명)	외국인-남자 (명)	외국인-여자 (명)	가구-계 (가구)	일반가구 (가구)	집단가구 (가구)	외국인가구 (가구)	주택-계 (호)	단독주택 (호)	아파트 (호)	연립주택 (호)	다세대주택 (호)	비거주용 건물내 주택 (호)	주택이외의 거처 (호)
　　　권선구	373381.0	188046.0	185335.0	358009.0	180309.0	177700.0	15372.0	7737.0	7635.0	149210.0	143231.0	50.0	5929.0	118970.0	9820.0	84884.0	2353.0	21070.0	843.0	3997.0
　　　팔달구	187922.0	95112.0	92810.0	167566.0	84182.0	83384.0	20356.0	10930.0	9426.0	84883.0	76086.0	70.0	8727.0	58005.0	8918.0	31810.0	1999.0	14573.0	705.0	6144.0
　　　영통구	370340.0	185687.0	184653.0	360696.0	180906.0	179790.0	9644.0	4781.0	4863.0	145927.0	142354.0	56.0	3517.0	109854.0	4120.0	100392.0	2631.0	2472.0	239.0	11902.0
　　　성남시	922025.0	455702.0	466323.0	896611.0	443432.0	453179.0	25414.0	12270.0	13144.0	379640.0	369585.0	126.0	9929.0	262573.0	33228.0	183364.0	10835.0	33550.0	1596.0	32696.0
　　　수정구	249044.0	125587.0	123457.0	233811.0	117966.0	115845.0	15233.0	7621.0	7612.0	111225.0	104775.0	37.0	6413.0	64003.0	17980.0	32932.0	1006.0	11490.0	595.0	4039.0
　　　중원구	211880.0	106618.0	105262.0	207373.0	104603.0	102770.0	4507.0	2015.0	2492.0	91539.0	89721.0	50.0	1768.0	59742.0	9938.0	27933.0	967.0	20145.0	759.0	5789.0
　　　분당구	461101.0	223497.0	237604.0	455427.0	220863.0	234564.0	5674.0	2634.0	3040.0	176876.0	175089.0	39.0	1748.0	138828.0	5310.0	122499.0	8862.0	1915.0	242.0	22868.0
　　　의정부시	449572.0	221225.0	228347.0	442884.0	218202.0	224682.0	6688.0	3023.0	3665.0	180351.0	178067.0	100.0	2184.0	157778.0	12544.0	119925.0	2890.0	21329.0	1090.0	6410.0
　　　안양시	542336.0	267405.0	274931.0	531584.0	262254.0	269330.0	10752.0	5151.0	5601.0	207634.0	203441.0	84.0	4109.0	178613.0	9400.0	131020.0	3470.0	33494.0	1229.0	11060.0
　　　만안구	240986.0	119998.0	120988.0	232745.0	115942.0	116803.0	8241.0	4056.0	4185.0	95798.0	92486.0	62.0	3250.0	77113.0	6568.0	46176.0	2194.0	21425.0	750.0	4139.0
　　　동안구	301350.0	147407.0	153943.0	298839.0	146312.0	152527.0	2511.0	1095.0	1416.0	111836.0	110955.0	22.0	859.0	101500.0	2832.0	84844.0	1276.0	12069.0	479.0	6921.0
　　　부천시	833148.0	412302.0	420846.0	794155.0	392770.0	401385.0	38993.0	19532.0	19461.0	329594.0	315696.0	205.0	13693.0	271570.0	17057.0	155701.0	7329.0	88823.0	2660.0	22470.0
　　　광명시	298116.0	146922.0	151194.0	290414.0	143230.0	147184.0	7702.0	3692.0	4010.0	114422.0	111383.0	33.0	3006.0	103493.0	5515.0	73897.0	1534.0	21971.0	576.0	5365.0
　　　평택시	542522.0	282271.0	260251.0	509745.0	263790.0	245955.0	32777.0	18481.0	14296.0	224080.0	213185.0	176.0	10719.0	219871.0	33328.0	147307.0	7714.0	29451.0	2071.0	6957.0
