Country,Year,debtassets
Sweden,1999,107683.2845
Sweden,2000,126271.6308
Sweden,2001,110522.6154
Sweden,2002,132124.6459
Sweden,2003,181244.0884
Sweden,2004,238109.6363
Sweden,2005,241128.8701
Sweden,2006,360992.9491
Sweden,2007,464793.5637
Sweden,2008,403682.1755
Sweden,2009,419166.7252
Sweden,2010,456672.8766
Sweden,2011,492029.9955
Switzerland,1970,20201.37834
Switzerland,1971,24547.73217
Switzerland,1972,28947.06277
Switzerland,1973,33307.99961
Switzerland,1974,43108.68152
Switzerland,1975,47327.98497
Switzerland,1976,62554.89045
Switzerland,1977,80197.64821
Switzerland,1978,108266.086
Switzerland,1979,127376.3173
Switzerland,1980,130147.2611
Switzerland,1981,142370.6541
Switzerland,1982,146284.9983
Switzerland,1983,126665.29
Switzerland,1984,131866.93
Switzerland,1985,181738.3097
Switzerland,1986,244089.0052
Switzerland,1987,329688.4977
Switzerland,1988,321773.6702
Switzerland,1989,343707.7271
Switzerland,1990,420106.5226
Switzerland,1991,423410.5496
Switzerland,1992,415358.4478
Switzerland,1993,425727.0024
Switzerland,1994,487024.7808
Switzerland,1995,548622.425
Switzerland,1996,596472.5936
Switzerland,1997,631552.2573
Switzerland,1998,756517.0541
Switzerland,1999,743311.1149
Switzerland,2000,816466.253
Switzerland,2001,779103.2961
Switzerland,2002,953492.9349
Switzerland,2003,1045700.12
Switzerland,2004,1160993.973
Switzerland,2005,1175725.023
Switzerland,2006,1340429.46
Switzerland,2007,1818788.929
Switzerland,2008,1547968.096
Switzerland,2009,1543885.461
Switzerland,2010,1514878.552
Switzerland,2011,1506839.391
Turkey,1970,424.6753756
Turkey,1971,505.2370999
Turkey,1972,605.3638145
Turkey,1973,730.8099282
Turkey,1974,832.0875245
Turkey,1975,1261.366427
Turkey,1976,1979.516656
Turkey,1977,1940.386675
Turkey,1978,2276.444154
Turkey,1979,2714.930111
Turkey,1980,3276.560418
Turkey,1981,3524
Turkey,1982,3705
Turkey,1983,3528
Turkey,1984,5153
Turkey,1985,5026
Turkey,1986,5339
Turkey,1987,6284
Turkey,1988,7712
Turkey,1989,7341
Turkey,1990,7750
Turkey,1991,10313
Turkey,1992,13455
Turkey,1993,17170
Turkey,1994,14717
Turkey,1995,15491
Turkey,1996,16547
Turkey,1997,18957
Turkey,1998,22022
Turkey,1999,25039
Turkey,2000,26196
Turkey,2001,27623
Turkey,2002,28293.33454
Turkey,2003,32333.64588
Turkey,2004,41185.23949
Turkey,2005,46306.68625
Turkey,2006,71737.88814
Turkey,2007,81397.49336
Turkey,2008,94273.10829
Turkey,2009,83686.1835
Turkey,2010,75584.3199
Turkey,2011,62982.09152
United Kingdom,1970,47390.65828
United Kingdom,1971,58759.67828
United Kingdom,1972,73627.7107
United Kingdom,1973,103301.317
United Kingdom,1974,125576.0081
United Kingdom,1975,141357.0494
United Kingdom,1976,161968.0204
United Kingdom,1977,189573.8047
United Kingdom,1978,240368.773
United Kingdom,1979,318043.86
United Kingdom,1980,407930
United Kingdom,1981,487070
United Kingdom,1982,523780
United Kingdom,1983,545320
United Kingdom,1984,563749.8025
United Kingdom,1985,656226.238
United Kingdom,1986,797856.3735
United Kingdom,1987,947927.8505
United Kingdom,1988,976988.859
United Kingdom,1989,1064574.94
United Kingdom,1990,1263404.904
United Kingdom,1991,1236560.761
United Kingdom,1992,1252022.184
United Kingdom,1993,1422174.18
United Kingdom,1994,1486820.313
United Kingdom,1995,1690152.55
United Kingdom,1996,1972456.23
United Kingdom,1997,2379780.163
United Kingdom,1998,2508394.977
United Kingdom,1999,2450095.477
United Kingdom,2000,2770197.674
United Kingdom,2001,2980157.186
United Kingdom,2002,3357940.306
United Kingdom,2003,4243227.763
United Kingdom,2004,5320572.435
United Kingdom,2005,5955222.144
United Kingdom,2006,7369700.715
United Kingdom,2007,9386483.942
United Kingdom,2008,7715696.602
United Kingdom,2009,7673267.117
United Kingdom,2010,7990290.083
United Kingdom,2011,8450704.302
United States,1970,68925
United States,1971,76436
United States,1972,85128
United States,1973,96713
United States,1974,120747
United States,1975,145239
United States,1976,181134
United States,1977,202714
United States,1978,255536
United States,1979,292337
United States,1980,349690
United States,1981,450710
United States,1982,573490
United States,1983,706067
United States,1984,725524
United States,1985,754047
United States,1986,852304
United States,1987,911395
United States,1988,1043063
United States,1989,1151716
United States,1990,1190063
