Country,Year,nfa
United Kingdom,1976,3145
United Kingdom,1977,6242
United Kingdom,1978,15839
United Kingdom,1979,9714
United Kingdom,1980,32144
United Kingdom,1981,54707
United Kingdom,1982,61722
United Kingdom,1983,73355
United Kingdom,1984,84710
United Kingdom,1985,96282
United Kingdom,1986,139717
United Kingdom,1987,85067
United Kingdom,1988,81017
United Kingdom,1989,76568
United Kingdom,1990,-31761
United Kingdom,1991,-11558
United Kingdom,1992,13193
United Kingdom,1993,39197
United Kingdom,1994,31116
United Kingdom,1995,-27338
United Kingdom,1996,-100700
United Kingdom,1997,-96078
United Kingdom,1998,-200698
United Kingdom,1999,-306745
United Kingdom,2000,-147705
United Kingdom,2001,-201057
United Kingdom,2002,-196925
United Kingdom,2003,-216194
United Kingdom,2004,-431207
United Kingdom,2005,-439069
United Kingdom,2006,-761655
United Kingdom,2007,-651921
United Kingdom,2008,-156512
United Kingdom,2009,-502031
United Kingdom,2010,-571111
United Kingdom,2011,-422907
United States,1970,88180
United States,1971,79875
United States,1972,82362
United States,1973,103412
United States,1974,114445
United States,1975,126285
United States,1976,125764
United States,1977,123824
United States,1978,142592
United States,1979,180187
United States,1980,217977
United States,1981,249178
United States,1982,210737
United States,1983,201921
United States,1984,85545
United States,1985,-24096
United States,1986,-130182
United States,1987,-198569
United States,1988,-274891
United States,1989,-351396
United States,1990,-332781
United States,1991,-384316
United States,1992,-498188
United States,1993,-387051
United States,1994,-398568
United States,1995,-531474
United States,1996,-560036
United States,1997,-862103
United States,1998,-933654
United States,1999,-806986
United States,2000,-1408814
United States,2001,-1947359
United States,2002,-2135271
United States,2003,-2202470
United States,2004,-2366727
United States,2005,-2066110
United States,2006,-2356650
United States,2007,-2013691
United States,2008,-3487282
United States,2009,-2559274
United States,2010,-2617578
United States,2011,-4130713
